temp_c,hum_pct,gas_ppm,temp_class,temp_membership,hum_class,hum_membership,gas_class,gas_membership,confidence
4.2,60.0,570,0,0.86,2,1.0,2,0.6666666666666666,2.425
4.2,60.0,568,0,0.86,2,1.0,2,0.5333333333333333,2.38
4.2,60.0,568,0,0.86,2,1.0,2,0.5333333333333333,2.38
4.2,60.4,536,0,0.86,2,0.9200000000000003,1,0.6,1.8958333333333333
4.2,60.4,541,0,0.86,2,0.9200000000000003,1,0.5444444444444444,1.8958333333333333
4.1,60.4,539,0,0.8633333333333333,2,0.9200000000000003,1,0.5666666666666667,1.8958333333333333
4.2,60.4,541,0,0.86,2,0.9200000000000003,1,0.5444444444444444,1.8958333333333333
4.2,60.4,539,0,0.86,2,0.9200000000000003,1,0.5666666666666667,1.8958333333333333
4.2,60.4,547,0,0.86,2,0.9200000000000003,1,0.4777777777777778,1.8958333333333333
4.2,60.4,543,0,0.86,2,0.9200000000000003,1,0.5222222222222223,1.8958333333333333
4.2,60.4,543,0,0.86,2,0.9200000000000003,1,0.5222222222222223,1.8958333333333333
4.2,60.4,540,0,0.86,2,0.9200000000000003,1,0.5555555555555556,1.8958333333333333
4.2,60.4,546,0,0.86,2,0.9200000000000003,1,0.4888888888888889,1.8958333333333333
4.2,60.3,542,0,0.86,2,0.9400000000000006,1,0.5333333333333333,1.8969072164948453
4.2,60.4,542,0,0.86,2,0.9200000000000003,1,0.5333333333333333,1.8958333333333333
4.2,60.5,540,0,0.86,2,0.9,1,0.5555555555555556,1.894736842105263
4.2,60.4,535,0,0.86,2,0.9200000000000003,1,0.6111111111111112,1.8958333333333333
4.2,60.4,536,0,0.86,2,0.9200000000000003,1,0.6,1.8958333333333333
4.2,60.4,537,0,0.86,2,0.9200000000000003,1,0.5888888888888889,1.8958333333333333
4.2,60.4,538,0,0.86,2,0.9200000000000003,1,0.5777777777777777,1.8958333333333333
4.2,60.4,540,0,0.86,2,0.9200000000000003,1,0.5555555555555556,1.8958333333333333
4.2,60.4,535,0,0.86,2,0.9200000000000003,1,0.6111111111111112,1.8958333333333333
4.2,60.4,537,0,0.86,2,0.9200000000000003,1,0.5888888888888889,1.8958333333333333
4.1,60.4,542,0,0.8633333333333333,2,0.9200000000000003,1,0.5333333333333333,1.8958333333333333
4.1,60.4,544,0,0.8633333333333333,2,0.9200000000000003,1,0.5111111111111111,1.8958333333333333
4.2,60.4,542,0,0.86,2,0.9200000000000003,1,0.5333333333333333,1.8958333333333333
4.2,60.4,538,0,0.86,2,0.9200000000000003,1,0.5777777777777777,1.8958333333333333
4.1,60.4,540,0,0.8633333333333333,2,0.9200000000000003,1,0.5555555555555556,1.8958333333333333
4.2,60.5,535,0,0.86,2,0.9,1,0.6111111111111112,1.894736842105263
