READING DURNG FIRE RAMPUP
GAS ADC Value: 763
Temp: 5.0C  Hum: 60.7%
GAS ADC Value: 768
Temp: 5.0C  Hum: 60.7%
GAS ADC Value: 775
Temp: 5.0C  Hum: 60.7%
GAS ADC Value: 759
Temp: 5.0C  Hum: 60.6%
GAS ADC Value: 764
Temp: 5.0C  Hum: 60.6%
GAS ADC Value: 765
Temp: 5.0C  Hum: 60.6%
GAS ADC Value: 763
Temp: 5.0C  Hum: 60.5%
GAS ADC Value: 752
Temp: 5.0C  Hum: 60.6%
GAS ADC Value: 753
Temp: 5.0C  Hum: 60.5%
GAS ADC Value: 750
Temp: 5.0C  Hum: 60.4%
GAS ADC Value: 746
Temp: 5.0C  Hum: 60.4%
GAS ADC Value: 749
Temp: 5.0C  Hum: 60.4%
GAS ADC Value: 752
Temp: 5.0C  Hum: 60.3%
GAS ADC Value: 749
Temp: 5.0C  Hum: 60.3%
GAS ADC Value: 749
Temp: 5.0C  Hum: 60.2%
GAS ADC Value: 740
Temp: 5.0C  Hum: 60.3%
GAS ADC Value: 743
Temp: 5.0C  Hum: 60.2%
GAS ADC Value: 746
Temp: 5.0C  Hum: 60.2%
GAS ADC Value: 739
Temp: 5.1C  Hum: 60.1%
GAS ADC Value: 746
Temp: 5.0C  Hum: 60.2%
GAS ADC Value: 741
Temp: 5.0C  Hum: 60.1%
GAS ADC Value: 738
Temp: 5.0C  Hum: 60.1%
GAS ADC Value: 740
Temp: 5.0C  Hum: 60.0%
GAS ADC Value: 743
Temp: 5.0C  Hum: 60.0%
GAS ADC Value: 738
Temp: 5.0C  Hum: 60.0%
GAS ADC Value: 737
Temp: 5.1C  Hum: 59.9%
GAS ADC Value: 742
Temp: 5.0C  Hum: 59.9%
GAS ADC Value: 756
Temp: 5.0C  Hum: 59.9%
GAS ADC Value: 750
Temp: 5.1C  Hum: 59.9%
GAS ADC Value: 754
Temp: 5.1C  Hum: 59.8%
GAS ADC Value: 751
Temp: 5.1C  Hum: 59.8%
GAS ADC Value: 756
Temp: 5.1C  Hum: 59.8%
GAS ADC Value: 758
Temp: 5.1C  Hum: 59.8%
GAS ADC Value: 755
Temp: 5.1C  Hum: 59.7%
GAS ADC Value: 756
Temp: 5.1C  Hum: 59.8%
GAS ADC Value: 754
Temp: 5.1C  Hum: 59.7%
GAS ADC Value: 760
Temp: 5.1C  Hum: 59.7%
GAS ADC Value: 751
Temp: 5.1C  Hum: 59.7%
GAS ADC Value: 753
Temp: 5.1C  Hum: 59.7%
GAS ADC Value: 754
Temp: 5.1C  Hum: 59.7%
GAS ADC Value: 754
Temp: 5.1C  Hum: 59.6%
GAS ADC Value: 754
Temp: 5.1C  Hum: 59.6%
GAS ADC Value: 755
Temp: 5.1C  Hum: 59.6%
GAS ADC Value: 753
Temp: 5.1C  Hum: 59.7%
GAS ADC Value: 751
Temp: 5.1C  Hum: 59.6%
GAS ADC Value: 749
Temp: 5.1C  Hum: 59.6%
GAS ADC Value: 750
Temp: 5.1C  Hum: 59.6%
GAS ADC Value: 742
Temp: 5.1C  Hum: 59.6%
GAS ADC Value: 749
Temp: 5.1C  Hum: 59.6%
GAS ADC Value: 744
Temp: 5.1C  Hum: 59.6%
GAS ADC Value: 749
Temp: 5.1C  Hum: 59.5%
GAS ADC Value: 740
Temp: 5.1C  Hum: 59.5%
GAS ADC Value: 749
Temp: 5.1C  Hum: 59.5%
GAS ADC Value: 744
Temp: 5.1C  Hum: 59.5%
GAS ADC Value: 747
Temp: 5.1C  Hum: 59.5%
GAS ADC Value: 747
Temp: 5.1C  Hum: 59.5%
GAS ADC Value: 743
Temp: 5.2C  Hum: 59.5%
GAS ADC Value: 742
Temp: 5.1C  Hum: 59.5%
GAS ADC Value: 758
Temp: 5.1C  Hum: 59.5%
GAS ADC Value: 743
Temp: 5.1C  Hum: 59.5%
GAS ADC Value: 742
Temp: 5.1C  Hum: 59.5%
GAS ADC Value: 741
Temp: 5.1C  Hum: 59.5%
GAS ADC Value: 756
Temp: 5.1C  Hum: 59.4%
GAS ADC Value: 741
Temp: 5.2C  Hum: 59.5%
GAS ADC Value: 742
Temp: 5.2C  Hum: 59.5%
GAS ADC Value: 739
Temp: 5.1C  Hum: 59.4%
GAS ADC Value: 739
Temp: 5.2C  Hum: 59.4%
GAS ADC Value: 748
Temp: 5.2C  Hum: 59.4%
GAS ADC Value: 742
Temp: 5.2C  Hum: 59.4%
GAS ADC Value: 738
Temp: 5.2C  Hum: 59.4%
GAS ADC Value: 741
Temp: 5.2C  Hum: 59.3%
GAS ADC Value: 729
Temp: 5.2C  Hum: 59.4%
GAS ADC Value: 735
Temp: 5.2C  Hum: 59.3%
GAS ADC Value: 739
Temp: 5.2C  Hum: 59.3%
GAS ADC Value: 737
Temp: 5.2C  Hum: 59.3%
GAS ADC Value: 743
Temp: 5.2C  Hum: 59.3%
GAS ADC Value: 735
Temp: 5.2C  Hum: 59.3%
GAS ADC Value: 742
Temp: 5.2C  Hum: 59.3%
GAS ADC Value: 734
Temp: 5.2C  Hum: 59.3%
GAS ADC Value: 734
Temp: 5.2C  Hum: 59.2%
GAS ADC Value: 732
Temp: 5.3C  Hum: 59.3%
GAS ADC Value: 729
Temp: 5.3C  Hum: 59.3%
GAS ADC Value: 733
Temp: 5.3C  Hum: 59.2%
GAS ADC Value: 730
Temp: 5.3C  Hum: 59.2%
GAS ADC Value: 734
Temp: 5.3C  Hum: 59.2%
GAS ADC Value: 726
Temp: 5.3C  Hum: 59.2%
GAS ADC Value: 729
Temp: 5.3C  Hum: 59.2%
GAS ADC Value: 730
Temp: 5.3C  Hum: 59.2%
GAS ADC Value: 727
Temp: 5.3C  Hum: 59.2%
GAS ADC Value: 730
Temp: 5.3C  Hum: 59.2%
GAS ADC Value: 725
Temp: 5.3C  Hum: 59.1%
GAS ADC Value: 724
Temp: 5.4C  Hum: 59.2%
GAS ADC Value: 730
Temp: 5.4C  Hum: 59.2%
GAS ADC Value: 726
Temp: 5.3C  Hum: 59.2%
GAS ADC Value: 726
Temp: 5.4C  Hum: 59.2%
GAS ADC Value: 723
Temp: 5.4C  Hum: 59.1%
GAS ADC Value: 736
Temp: 5.4C  Hum: 59.1%
GAS ADC Value: 724
Temp: 5.4C  Hum: 59.1%
GAS ADC Value: 724
Temp: 5.4C  Hum: 59.1%
GAS ADC Value: 724
Temp: 5.4C  Hum: 59.2%
GAS ADC Value: 724
Temp: 5.4C  Hum: 59.1%
GAS ADC Value: 721
Temp: 5.4C  Hum: 59.1%
GAS ADC Value: 719
Temp: 5.4C  Hum: 59.1%
GAS ADC Value: 715
Temp: 5.4C  Hum: 59.1%
GAS ADC Value: 718
Temp: 5.5C  Hum: 59.0%
GAS ADC Value: 718
Temp: 5.5C  Hum: 59.0%
GAS ADC Value: 714
Temp: 5.5C  Hum: 59.0%
GAS ADC Value: 718
Temp: 5.5C  Hum: 59.0%
GAS ADC Value: 714
Temp: 5.5C  Hum: 59.0%
GAS ADC Value: 715
Temp: 5.5C  Hum: 59.0%
GAS ADC Value: 715
Temp: 5.6C  Hum: 58.9%
GAS ADC Value: 713
Temp: 5.6C  Hum: 58.9%
GAS ADC Value: 718
Temp: 5.6C  Hum: 58.9%
GAS ADC Value: 710
Temp: 5.6C  Hum: 58.9%
GAS ADC Value: 710
Temp: 5.6C  Hum: 58.9%
GAS ADC Value: 712
Temp: 5.6C  Hum: 58.9%
GAS ADC Value: 714
Temp: 5.7C  Hum: 58.9%
GAS ADC Value: 710
Temp: 5.6C  Hum: 58.9%
GAS ADC Value: 712
Temp: 5.7C  Hum: 58.9%
GAS ADC Value: 708
Temp: 5.7C  Hum: 58.8%
GAS ADC Value: 710
Temp: 5.7C  Hum: 58.9%
GAS ADC Value: 704
Temp: 5.7C  Hum: 58.8%
GAS ADC Value: 704
Temp: 5.7C  Hum: 58.8%
GAS ADC Value: 706
Temp: 5.7C  Hum: 58.8%
GAS ADC Value: 701
Temp: 5.7C  Hum: 58.8%
GAS ADC Value: 705
Temp: 5.7C  Hum: 58.7%
GAS ADC Value: 706
Temp: 5.8C  Hum: 58.8%
GAS ADC Value: 701
Temp: 5.8C  Hum: 58.8%
GAS ADC Value: 699
Temp: 5.8C  Hum: 58.8%
GAS ADC Value: 717
Temp: 5.8C  Hum: 58.8%
GAS ADC Value: 701
Temp: 5.9C  Hum: 58.7%
GAS ADC Value: 705
Temp: 5.9C  Hum: 58.7%
GAS ADC Value: 706
Temp: 5.9C  Hum: 58.7%
GAS ADC Value: 706
Temp: 5.9C  Hum: 58.6%
GAS ADC Value: 703
Temp: 5.9C  Hum: 58.6%
GAS ADC Value: 702
Temp: 5.9C  Hum: 58.6%
GAS ADC Value: 695
Temp: 5.9C  Hum: 58.5%
GAS ADC Value: 705
Temp: 5.9C  Hum: 58.5%
GAS ADC Value: 702
Temp: 6.0C  Hum: 58.5%
GAS ADC Value: 702
Temp: 5.9C  Hum: 58.5%
GAS ADC Value: 706
Temp: 5.9C  Hum: 58.4%
GAS ADC Value: 702
Temp: 6.0C  Hum: 58.5%
GAS ADC Value: 695
Temp: 6.0C  Hum: 58.4%
GAS ADC Value: 702
Temp: 6.0C  Hum: 58.4%
GAS ADC Value: 700
Temp: 6.0C  Hum: 58.4%
GAS ADC Value: 698
Temp: 6.0C  Hum: 58.3%
GAS ADC Value: 702
Temp: 6.0C  Hum: 58.4%
GAS ADC Value: 699
Temp: 6.0C  Hum: 58.3%
GAS ADC Value: 698
Temp: 6.0C  Hum: 58.3%
GAS ADC Value: 700
Temp: 6.1C  Hum: 58.3%
GAS ADC Value: 692
Temp: 6.1C  Hum: 58.3%
GAS ADC Value: 701
Temp: 6.1C  Hum: 58.2%
GAS ADC Value: 694
Temp: 6.1C  Hum: 58.2%
GAS ADC Value: 699
Temp: 6.2C  Hum: 58.2%
GAS ADC Value: 691
Temp: 6.1C  Hum: 58.2%
GAS ADC Value: 695
Temp: 6.2C  Hum: 58.1%
GAS ADC Value: 698
Temp: 6.2C  Hum: 58.1%
GAS ADC Value: 696
Temp: 6.2C  Hum: 58.0%
GAS ADC Value: 694
Temp: 6.2C  Hum: 58.0%
GAS ADC Value: 697
Temp: 6.2C  Hum: 58.0%
GAS ADC Value: 699
Temp: 6.2C  Hum: 57.9%
GAS ADC Value: 691
Temp: 6.2C  Hum: 57.9%
GAS ADC Value: 695
Temp: 6.2C  Hum: 57.9%
GAS ADC Value: 692
Temp: 6.2C  Hum: 57.9%
GAS ADC Value: 695
Temp: 6.2C  Hum: 57.8%
GAS ADC Value: 692
Temp: 6.2C  Hum: 57.8%
GAS ADC Value: 695
Temp: 6.2C  Hum: 57.7%
GAS ADC Value: 690
Temp: 6.2C  Hum: 57.8%
GAS ADC Value: 704
Temp: 6.3C  Hum: 57.7%
GAS ADC Value: 696
Temp: 6.3C  Hum: 57.6%
GAS ADC Value: 695
Temp: 6.3C  Hum: 57.6%
GAS ADC Value: 694
Temp: 6.3C  Hum: 57.7%
GAS ADC Value: 699
Temp: 6.3C  Hum: 57.6%
GAS ADC Value: 694
Temp: 6.3C  Hum: 57.6%
GAS ADC Value: 693
Temp: 6.3C  Hum: 57.6%
GAS ADC Value: 694
Temp: 6.3C  Hum: 57.5%
GAS ADC Value: 698
Temp: 6.3C  Hum: 57.5%
GAS ADC Value: 695
Temp: 6.4C  Hum: 57.4%
GAS ADC Value: 696
Temp: 6.4C  Hum: 57.4%
GAS ADC Value: 696
Temp: 6.4C  Hum: 57.4%
GAS ADC Value: 700
Temp: 6.4C  Hum: 57.3%
GAS ADC Value: 699
Temp: 6.4C  Hum: 57.3%
GAS ADC Value: 697
Temp: 6.4C  Hum: 57.3%
GAS ADC Value: 696
Temp: 6.4C  Hum: 57.2%
GAS ADC Value: 700
Temp: 6.4C  Hum: 57.2%
GAS ADC Value: 693
Temp: 6.4C  Hum: 57.2%
GAS ADC Value: 697
Temp: 6.4C  Hum: 57.2%
GAS ADC Value: 701
Temp: 6.4C  Hum: 57.2%
GAS ADC Value: 695
Temp: 6.4C  Hum: 57.1%
GAS ADC Value: 703
Temp: 6.4C  Hum: 57.1%
GAS ADC Value: 702
Temp: 6.5C  Hum: 57.1%
GAS ADC Value: 699
Temp: 6.4C  Hum: 57.0%
GAS ADC Value: 710
Temp: 6.4C  Hum: 57.1%
GAS ADC Value: 701
Temp: 6.5C  Hum: 57.0%
GAS ADC Value: 708
Temp: 6.5C  Hum: 57.0%
GAS ADC Value: 704
Temp: 6.4C  Hum: 57.0%
GAS ADC Value: 711
Temp: 6.5C  Hum: 57.0%
GAS ADC Value: 709
Temp: 6.5C  Hum: 57.0%
GAS ADC Value: 714
Temp: 6.4C  Hum: 56.9%
GAS ADC Value: 721
Temp: 6.5C  Hum: 57.0%
GAS ADC Value: 718
Temp: 6.5C  Hum: 56.9%
GAS ADC Value: 716
Temp: 6.5C  Hum: 56.9%
GAS ADC Value: 720
Temp: 6.5C  Hum: 56.8%
GAS ADC Value: 714
Temp: 6.5C  Hum: 56.8%
GAS ADC Value: 721
Temp: 6.5C  Hum: 56.8%
GAS ADC Value: 717
Temp: 6.5C  Hum: 56.8%
GAS ADC Value: 733
Temp: 6.5C  Hum: 56.7%
GAS ADC Value: 724
Temp: 6.5C  Hum: 56.7%
GAS ADC Value: 722
Temp: 6.5C  Hum: 56.7%
GAS ADC Value: 719
Temp: 6.5C  Hum: 56.7%
GAS ADC Value: 725
Temp: 6.5C  Hum: 56.7%
GAS ADC Value: 720
Temp: 6.5C  Hum: 56.7%
GAS ADC Value: 721
Temp: 6.5C  Hum: 56.6%
GAS ADC Value: 718
Temp: 6.5C  Hum: 56.7%
GAS ADC Value: 728
Temp: 6.5C  Hum: 56.6%
GAS ADC Value: 720
Temp: 6.5C  Hum: 56.5%
GAS ADC Value: 723
Temp: 6.5C  Hum: 56.5%
GAS ADC Value: 716
Temp: 6.5C  Hum: 56.5%
GAS ADC Value: 736
Temp: 6.5C  Hum: 56.5%
GAS ADC Value: 723
Temp: 6.5C  Hum: 56.4%
GAS ADC Value: 719
Temp: 6.5C  Hum: 56.4%
GAS ADC Value: 723
Temp: 6.5C  Hum: 56.4%
GAS ADC Value: 725
Temp: 6.5C  Hum: 56.4%
GAS ADC Value: 724
Temp: 6.5C  Hum: 56.4%
GAS ADC Value: 713
Temp: 6.5C  Hum: 56.2%
GAS ADC Value: 716
Temp: 6.5C  Hum: 56.2%
GAS ADC Value: 725
Temp: 6.5C  Hum: 56.1%
GAS ADC Value: 714
Temp: 6.5C  Hum: 56.1%
GAS ADC Value: 722
Temp: 6.5C  Hum: 56.1%
GAS ADC Value: 712
Temp: 6.5C  Hum: 56.0%
GAS ADC Value: 719
Temp: 6.5C  Hum: 56.0%
GAS ADC Value: 719
Temp: 6.5C  Hum: 56.0%
GAS ADC Value: 720
Temp: 6.5C  Hum: 56.0%
GAS ADC Value: 714
Temp: 6.5C  Hum: 56.0%
GAS ADC Value: 722
Temp: 6.5C  Hum: 55.9%
GAS ADC Value: 724
Temp: 6.5C  Hum: 55.9%
GAS ADC Value: 715
Temp: 6.5C  Hum: 55.8%
GAS ADC Value: 716
Temp: 6.5C  Hum: 55.8%
GAS ADC Value: 710
Temp: 6.5C  Hum: 55.8%
GAS ADC Value: 713
Temp: 6.5C  Hum: 55.8%
GAS ADC Value: 715
Temp: 6.5C  Hum: 55.8%
GAS ADC Value: 710
Temp: 6.6C  Hum: 55.7%
GAS ADC Value: 715
Temp: 6.5C  Hum: 55.7%
GAS ADC Value: 713
Temp: 6.5C  Hum: 55.6%
GAS ADC Value: 713
Temp: 6.5C  Hum: 55.6%
GAS ADC Value: 715
Temp: 6.5C  Hum: 55.5%
GAS ADC Value: 711
Temp: 6.5C  Hum: 55.6%
GAS ADC Value: 708
Temp: 6.5C  Hum: 55.6%
GAS ADC Value: 706
Temp: 6.5C  Hum: 55.5%
GAS ADC Value: 712
Temp: 6.5C  Hum: 55.4%
GAS ADC Value: 712
Temp: 6.5C  Hum: 55.4%
GAS ADC Value: 708
Temp: 6.5C  Hum: 55.4%
GAS ADC Value: 711
Temp: 6.5C  Hum: 55.3%
GAS ADC Value: 705
Temp: 6.5C  Hum: 55.3%
GAS ADC Value: 714
Temp: 6.5C  Hum: 55.3%
GAS ADC Value: 708
Temp: 6.5C  Hum: 55.3%
GAS ADC Value: 705
Temp: 6.5C  Hum: 55.2%
GAS ADC Value: 712
Temp: 6.5C  Hum: 55.2%
GAS ADC Value: 711
Temp: 6.5C  Hum: 55.2%
GAS ADC Value: 714
Temp: 6.5C  Hum: 55.2%
GAS ADC Value: 723
Temp: 6.5C  Hum: 55.2%
GAS ADC Value: 714
Temp: 6.5C  Hum: 55.1%
GAS ADC Value: 710
Temp: 6.5C  Hum: 55.1%
GAS ADC Value: 713
Temp: 6.5C  Hum: 55.1%
GAS ADC Value: 719
Temp: 6.5C  Hum: 55.1%
GAS ADC Value: 726
Temp: 6.5C  Hum: 55.1%
GAS ADC Value: 712
Temp: 6.5C  Hum: 55.1%
GAS ADC Value: 721
Temp: 6.5C  Hum: 55.1%
GAS ADC Value: 716
Temp: 6.5C  Hum: 55.1%
GAS ADC Value: 718
Temp: 6.5C  Hum: 55.0%
GAS ADC Value: 724
Temp: 6.5C  Hum: 55.0%
GAS ADC Value: 715
Temp: 6.5C  Hum: 55.0%
GAS ADC Value: 733
Temp: 6.5C  Hum: 55.0%
GAS ADC Value: 719
Temp: 6.5C  Hum: 55.0%
GAS ADC Value: 727
Temp: 6.5C  Hum: 54.9%
GAS ADC Value: 727
Temp: 6.5C  Hum: 54.9%
GAS ADC Value: 727
Temp: 6.5C  Hum: 55.0%
GAS ADC Value: 727
Temp: 6.5C  Hum: 54.9%
GAS ADC Value: 734
Temp: 6.5C  Hum: 54.9%
GAS ADC Value: 730
Temp: 6.5C  Hum: 54.9%
GAS ADC Value: 743
Temp: 6.4C  Hum: 54.9%
GAS ADC Value: 734
Temp: 6.5C  Hum: 54.9%
GAS ADC Value: 733
Temp: 6.5C  Hum: 55.0%
GAS ADC Value: 737
Temp: 6.5C  Hum: 54.9%
GAS ADC Value: 733
Temp: 6.5C  Hum: 54.9%
GAS ADC Value: 744
Temp: 6.5C  Hum: 54.9%
GAS ADC Value: 735
Temp: 6.5C  Hum: 54.9%
GAS ADC Value: 740
Temp: 6.5C  Hum: 54.8%
GAS ADC Value: 734
Temp: 6.4C  Hum: 54.9%
GAS ADC Value: 735
Temp: 6.4C  Hum: 54.9%
GAS ADC Value: 739
Temp: 6.4C  Hum: 54.8%
GAS ADC Value: 736
Temp: 6.5C  Hum: 54.8%
GAS ADC Value: 730
Temp: 6.4C  Hum: 54.8%
GAS ADC Value: 741
Temp: 6.4C  Hum: 54.8%
GAS ADC Value: 736
Temp: 6.4C  Hum: 54.7%
GAS ADC Value: 742
Temp: 6.5C  Hum: 54.8%
GAS ADC Value: 744
Temp: 6.4C  Hum: 54.8%
GAS ADC Value: 731
Temp: 6.4C  Hum: 54.8%
GAS ADC Value: 730
Temp: 6.4C  Hum: 54.7%
GAS ADC Value: 736
Temp: 6.4C  Hum: 54.7%
GAS ADC Value: 736
Temp: 6.4C  Hum: 54.7%
GAS ADC Value: 732
Temp: 6.4C  Hum: 54.6%
GAS ADC Value: 735
Temp: 6.4C  Hum: 54.7%
GAS ADC Value: 733
Temp: 6.4C  Hum: 54.7%
GAS ADC Value: 733
