READING DURNG FIRE RAMPUP
Temp: 4.1C  Hum: 60.9%
GAS ADC Value: 575
Temp: 4.1C  Hum: 60.9%
GAS ADC Value: 558
Temp: 4.1C  Hum: 61.0%
GAS ADC Value: 558
Temp: 4.1C  Hum: 61.0%
GAS ADC Value: 557
Temp: 4.1C  Hum: 61.0%
GAS ADC Value: 559
Temp: 4.1C  Hum: 61.0%
GAS ADC Value: 556
Temp: 4.1C  Hum: 61.0%
GAS ADC Value: 570
Temp: 4.1C  Hum: 61.0%
GAS ADC Value: 565
Temp: 4.1C  Hum: 61.0%
GAS ADC Value: 562
Temp: 4.1C  Hum: 61.1%
GAS ADC Value: 564
Temp: 4.1C  Hum: 61.1%
GAS ADC Value: 562
Temp: 4.1C  Hum: 61.1%
GAS ADC Value: 562
Temp: 4.1C  Hum: 61.1%
GAS ADC Value: 563
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 565
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 561
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 567
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 576
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 569
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 570
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 569
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 567
Temp: 4.1C  Hum: 61.3%
GAS ADC Value: 579
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 570
Temp: 4.1C  Hum: 61.3%
GAS ADC Value: 575
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 570
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 580
Temp: 4.1C  Hum: 61.3%
GAS ADC Value: 571
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 576
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 574
Temp: 4.1C  Hum: 61.3%
GAS ADC Value: 571
Temp: 4.1C  Hum: 61.3%
GAS ADC Value: 570
Temp: 4.1C  Hum: 61.3%
GAS ADC Value: 570
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 575
Temp: 4.1C  Hum: 61.3%
GAS ADC Value: 573
Temp: 4.1C  Hum: 61.3%
GAS ADC Value: 571
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 574
Temp: 4.1C  Hum: 61.2%
GAS ADC Value: 569
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 568
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 584
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 567
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 569
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 571
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 566
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 574
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 566
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 571
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 568
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 571
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 571
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 573
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 563
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 567
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 568
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 567
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 569
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 573
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 570
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 570
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 572
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 572
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 570
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 571
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 569
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 580
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 568
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 570
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 566
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 572
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 567
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 565
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 566
Temp: 4.2C  Hum: 61.3%
GAS ADC Value: 564
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 567
Temp: 4.3C  Hum: 61.3%
GAS ADC Value: 566
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 564
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 571
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 568
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 569
Temp: 4.3C  Hum: 61.2%
GAS ADC Value: 570
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 567
Temp: 4.2C  Hum: 61.2%
GAS ADC Value: 576
Temp: 4.3C  Hum: 61.1%
GAS ADC Value: 570
