temp_c,hum_pct,gas_ppm,temp_class,temp_membership,hum_class,hum_membership,gas_class,gas_membership,confidence
4.5,59.4,619,0,0.85,2,0.9399999999999998,2,0.41333333333333333,2.4
4.5,59.4,620,0,0.85,2,0.9399999999999998,2,0.4,2.4000000000000004
4.5,59.4,620,0,0.85,2,0.9399999999999998,2,0.4,2.4000000000000004
4.5,59.4,616,0,0.85,2,0.9399999999999998,2,0.4533333333333333,2.4
4.5,59.4,617,0,0.85,2,0.9399999999999998,2,0.44,2.4
4.5,59.4,621,0,0.85,2,0.9399999999999998,2,0.38666666666666666,2.4
4.5,59.4,617,0,0.85,2,0.9399999999999998,2,0.44,2.4
4.5,59.4,618,0,0.85,2,0.9399999999999998,2,0.4266666666666667,2.4
4.5,59.4,613,0,0.85,2,0.9399999999999998,2,0.49333333333333335,2.4
4.5,59.4,619,0,0.85,2,0.9399999999999998,2,0.41333333333333333,2.4
4.5,59.4,619,0,0.85,2,0.9399999999999998,2,0.41333333333333333,2.4
4.5,59.4,626,0,0.85,2,0.9399999999999998,2,0.32,2.4
4.5,59.4,616,0,0.85,2,0.9399999999999998,2,0.4533333333333333,2.4
4.5,59.4,618,0,0.85,2,0.9399999999999998,2,0.4266666666666667,2.4
4.5,59.4,614,0,0.85,2,0.9399999999999998,2,0.48,2.4
4.5,59.5,623,0,0.85,2,0.95,2,0.36,2.4000000000000004
4.5,59.4,618,0,0.85,2,0.9399999999999998,2,0.4266666666666667,2.4
4.5,59.4,615,0,0.85,2,0.9399999999999998,2,0.4666666666666667,2.3999999999999995
4.5,59.4,621,0,0.85,2,0.9399999999999998,2,0.38666666666666666,2.4
4.5,59.4,612,0,0.85,2,0.9399999999999998,2,0.5066666666666667,2.4
4.5,59.4,617,0,0.85,2,0.9399999999999998,2,0.44,2.4
4.5,59.4,612,0,0.85,2,0.9399999999999998,2,0.5066666666666667,2.4
4.5,59.4,616,0,0.85,2,0.9399999999999998,2,0.4533333333333333,2.4
4.5,59.4,613,0,0.85,2,0.9399999999999998,2,0.49333333333333335,2.4
4.5,59.5,623,0,0.85,2,0.95,2,0.36,2.4000000000000004
4.5,59.4,641,0,0.85,2,0.9399999999999998,3,0.275,2.8177215189873417
4.5,59.4,641,0,0.85,2,0.9399999999999998,3,0.275,2.8177215189873417
4.5,59.4,640,0,0.85,2,0.9399999999999998,3,0.25,2.7913043478260873
4.5,59.4,646,0,0.85,2,0.9399999999999998,3,0.4,2.929411764705882
4.5,59.5,637,0,0.85,2,0.95,3,0.175,2.7014354066985646
4.4,59.4,637,0,0.8533333333333334,2,0.9399999999999998,3,0.175,2.7014354066985646
4.5,59.5,638,0,0.85,2,0.95,3,0.2,2.7333333333333334
4.4,59.5,638,0,0.8533333333333334,2,0.95,3,0.2,2.7333333333333334
4.5,59.5,639,0,0.85,2,0.95,3,0.225,2.7632286995515694
4.4,59.5,644,0,0.8533333333333334,2,0.95,3,0.35,2.8883720930232557
4.5,59.5,638,0,0.85,2,0.95,3,0.2,2.7333333333333334
4.4,59.5,634,0,0.8533333333333334,2,0.95,2,0.21333333333333335,2.5914893617021275
4.4,59.5,634,0,0.8533333333333334,2,0.95,2,0.21333333333333335,2.5914893617021275
4.4,59.5,635,0,0.8533333333333334,2,0.95,2,0.2,2.6307692307692307
4.4,59.6,637,0,0.8533333333333334,2,0.9600000000000002,3,0.175,2.7014354066985646
4.4,59.5,636,0,0.8533333333333334,2,0.95,2,0.18666666666666668,2.6673267326732675
4.4,59.5,637,0,0.8533333333333334,2,0.95,3,0.175,2.7014354066985646
4.4,59.5,656,0,0.8533333333333334,2,0.95,3,0.65,3.0
4.4,59.5,638,0,0.8533333333333334,2,0.95,3,0.2,2.7333333333333334
4.4,59.5,637,0,0.8533333333333334,2,0.95,3,0.175,2.7014354066985646
4.4,59.6,636,0,0.8533333333333334,2,0.9600000000000002,2,0.18666666666666668,2.6673267326732675
4.4,59.5,637,0,0.8533333333333334,2,0.95,3,0.175,2.7014354066985646
4.4,59.6,639,0,0.8533333333333334,2,0.9600000000000002,3,0.225,2.7632286995515694
4.4,59.5,636,0,0.8533333333333334,2,0.95,2,0.18666666666666668,2.6673267326732675
4.4,59.5,636,0,0.8533333333333334,2,0.95,2,0.18666666666666668,2.6673267326732675
4.4,59.6,642,0,0.8533333333333334,2,0.9600000000000002,3,0.3,2.8426229508196723
4.4,59.6,656,0,0.8533333333333334,2,0.9600000000000002,3,0.65,3.0
4.5,59.6,636,0,0.85,2,0.9600000000000002,2,0.18666666666666668,2.6673267326732675
4.4,59.6,643,0,0.8533333333333334,2,0.9600000000000002,3,0.325,2.8661354581673306
4.4,59.6,636,0,0.8533333333333334,2,0.9600000000000002,2,0.18666666666666668,2.6673267326732675
4.4,59.6,647,0,0.8533333333333334,2,0.9600000000000002,3,0.425,2.9483870967741934
4.4,59.5,637,0,0.8533333333333334,2,0.95,3,0.175,2.7014354066985646
4.4,59.6,642,0,0.8533333333333334,2,0.9600000000000002,3,0.3,2.8426229508196723
4.4,59.6,635,0,0.8533333333333334,2,0.9600000000000002,2,0.2,2.6307692307692307
4.4,59.6,634,0,0.8533333333333334,2,0.9600000000000002,2,0.21333333333333335,2.5914893617021275
4.4,59.6,621,0,0.8533333333333334,2,0.9600000000000002,2,0.38666666666666666,2.4
4.4,59.6,631,0,0.8533333333333334,2,0.9600000000000002,2,0.25333333333333335,2.453892215568862
4.4,59.6,642,0,0.8533333333333334,2,0.9600000000000002,3,0.3,2.8426229508196723
4.4,59.6,635,0,0.8533333333333334,2,0.9600000000000002,2,0.2,2.6307692307692307
4.4,59.7,632,0,0.8533333333333334,2,0.9700000000000003,2,0.24,2.503448275862069
4.4,59.6,637,0,0.8533333333333334,2,0.9600000000000002,3,0.175,2.7014354066985646
4.4,59.6,637,0,0.8533333333333334,2,0.9600000000000002,3,0.175,2.7014354066985646
4.4,59.6,636,0,0.8533333333333334,2,0.9600000000000002,2,0.18666666666666668,2.6673267326732675
4.5,59.7,641,0,0.85,2,0.9700000000000003,3,0.275,2.8177215189873417
4.4,59.6,635,0,0.8533333333333334,2,0.9600000000000002,2,0.2,2.6307692307692307
4.4,59.7,640,0,0.8533333333333334,2,0.9700000000000003,3,0.25,2.7913043478260873
4.4,59.6,650,0,0.8533333333333334,2,0.9600000000000002,3,0.5,3.0
4.4,59.6,636,0,0.8533333333333334,2,0.9600000000000002,2,0.18666666666666668,2.6673267326732675
4.4,59.6,632,0,0.8533333333333334,2,0.9600000000000002,2,0.24,2.503448275862069
4.4,59.6,635,0,0.8533333333333334,2,0.9600000000000002,2,0.2,2.6307692307692307
4.4,59.7,637,0,0.8533333333333334,2,0.9700000000000003,3,0.175,2.7014354066985646
4.4,59.6,641,0,0.8533333333333334,2,0.9600000000000002,3,0.275,2.8177215189873417
4.4,59.7,636,0,0.8533333333333334,2,0.9700000000000003,2,0.18666666666666668,2.6673267326732675
4.4,59.7,632,0,0.8533333333333334,2,0.9700000000000003,2,0.24,2.503448275862069
4.4,59.7,634,0,0.8533333333333334,2,0.9700000000000003,2,0.21333333333333335,2.5914893617021275
